"vol","date","hand","1","2","3","4","5","cont2","cont3","cont4"
286,"1997-04-13","グー","チョキ","パー","パー","グー","チョキ",TRUE,FALSE,FALSE
287,"1997-04-20","チョキ","グー","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
288,"1997-04-27","パー","チョキ","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
289,"1997-05-04","パー","パー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
290,"1997-05-11","グー","パー","パー","チョキ","グー","チョキ",TRUE,FALSE,FALSE
291,"1997-05-18","チョキ","グー","パー","パー","チョキ","グー",TRUE,FALSE,FALSE
292,"1997-05-25","パー","チョキ","グー","パー","パー","チョキ",TRUE,FALSE,FALSE
293,"1997-06-01","チョキ","パー","チョキ","グー","パー","パー",TRUE,FALSE,FALSE
294,"1997-06-08","グー","チョキ","パー","チョキ","グー","パー",FALSE,FALSE,FALSE
295,"1997-06-15","グー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
296,"1997-06-22","パー","グー","グー","チョキ","パー","チョキ",TRUE,FALSE,FALSE
297,"1997-06-29","チョキ","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
298,"1997-07-06","チョキ","チョキ","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
299,"1997-07-13","グー","チョキ","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
300,"1997-07-20","パー","グー","チョキ","チョキ","パー","グー",TRUE,FALSE,FALSE
302,"1997-08-03","グー","パー","グー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
303,"1997-08-10","チョキ","グー","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
304,"1997-08-17","グー","チョキ","グー","パー","グー","チョキ",FALSE,FALSE,FALSE
305,"1997-08-24","パー","グー","チョキ","グー","パー","グー",FALSE,FALSE,FALSE
306,"1997-08-31","パー","パー","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
